Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L,298.4,308.9,1628,34.9,93
H,298.6,309.5,1375,41.0,39
L,300.6,310.2,1447,45.9,17
L,304.1,313.2,1452,48.0,126
L,298.2,307.8,1521,42.9,60
H,298.4,308.2,1612,32.6,10
L,299.0,308.7,1449,38.9,18
M,299.0,310.6,1587,34.2,141
L,298.9,309.9,1592,32.0,60
L,297.3,308.7,1619,31.6,129
M,300.7,311.7,1701,30.8,44
L,300.8,310.6,1416,42.2,225
L,300.3,309.9,1621,34.1,36
L,298.0,308.8,1489,36.5,109
H,299.3,308.9,1429,43.0,96
L,298.5,309.6,1419,41.5,105
M,298.3,309.0,1802,27.5,71
L,301.7,310.9,1608,33.0,160
M,297.6,308.5,1431,52.6,26
L,300.9,310.8,1701,30.4,55
L,304.1,313.4,1399,43.7,111
L,300.0,311.3,1703,30.4,85
M,298.3,308.1,1722,28.6,89
H,297.5,308.6,1481,38.8,14
L,302.3,311.7,1611,38.6,143
L,298.1,307.8,1540,37.8,203
L,300.7,312.3,1898,24.0,60
L,302.2,310.6,1386,50.0,132
M,297.2,308.5,1364,54.0,43
L,301.8,310.3,1341,50.5,64
M,301.4,310.6,1459,46.9,27
L,297.0,308.1,1455,43.5,122
L,298.3,309.0,1471,48.3,91
M,299.8,309.7,1910,21.8,141
M,300.6,309.4,1521,37.2,90
L,297.3,308.4,1513,40.5,25
L,300.7,312.1,1512,36.9,153
L,298.5,308.0,1624,29.8,160
M,301.8,309.5,1732,30.1,220
H,298.2,308.4,1398,51.8,76
L,300.6,309.6,1411,41.6,140
M,302.6,311.4,1718,31.2,154
M,297.9,307.5,1642,32.4,126
M,295.5,305.9,1380,52.4,202
L,301.1,311.1,1387,53.1,188
M,299.2,309.1,1503,34.7,6
L,296.4,307.4,1512,36.8,46
M,297.7,309.0,1656,33.2,20
L,297.5,308.6,1452,39.0,72
L,303.5,312.8,1607,38.4,92
M,302.9,312.3,1809,25.0,180
L,300.3,310.4,1742,25.9,7
L,302.5,311.5,1521,44.1,37
M,300.2,310.6,1983,20.8,83
L,302.5,311.4,1409,53.1,126
L,300.4,311.9,1868,21.3,92
H,295.6,306.2,1329,55.3,135
M,300.4,309.7,1367,51.2,143
L,298.4,309.4,1461,46.3,121
M,299.6,310.1,1455,46.1,76
L,300.0,309.2,1759,27.9,5
L,300.6,311.6,1964,21.4,15
H,301.6,310.6,1821,26.2,171
M,298.2,308.9,1512,38.5,28
M,297.3,307.8,1538,48.0,171
L,303.6,313.0,1575,38.3,54
M,297.9,308.1,1627,31.4,209
L,300.3,309.5,1474,38.7,35
M,300.5,309.4,1655,32.1,37
L,302.2,311.9,1596,38.0,156
L,297.3,308.3,1590,35.5,59
M,298.9,309.8,1363,50.6,115
L,299.5,309.1,1357,47.3,106
L,303.5,312.6,1496,39.0,21
L,300.1,311.4,1729,29.3,71
M,299.9,309.6,1364,44.4,20
L,302.4,311.8,1493,38.4,132
L,298.2,308.2,1446,38.2,61
L,300.6,310.2,1648,31.7,46
L,302.1,311.4,1603,35.9,104
L,303.7,313.0,1456,45.5,51
L,300.5,311.7,1445,44.8,83
L,300.4,311.7,1460,39.6,162
L,302.4,311.0,1329,54.6,176
L,298.4,309.3,1395,47.6,24
L,299.7,311.1,1690,30.6,148
M,304.3,313.3,1540,39.0,14
H,298.5,309.4,1414,46.7,102
L,297.0,307.9,1296,69.1,153
M,300.4,311.6,1518,36.4,53
L,300.2,309.3,1532,43.2,53
M,299.2,308.4,1856,22.7,86
L,300.9,310.2,1382,50.4,131
L,299.4,310.7,1426,45.7,213
L,302.0,309.8,1480,40.0,199
L,302.8,312.4,1368,49.5,10
L,301.5,310.5,2297,15.8,191
H,298.0,307.9,1482,37.8,132
M,302.1,310.0,1355,45.1,6
H,300.7,309.5,2007,19.7,2
L,301.0,310.0,1480,43.5,21
M,297.6,308.7,1392,41.2,178
L,301.2,310.8,1233,64.6,45
L,298.8,308.6,1631,32.4,38
L,301.8,310.5,1548,34.1,93
L,297.0,307.8,1553,33.3,155
L,300.5,310.4,1702,33.1,71
L,300.1,309.3,1841,23.0,125
M,300.7,309.7,1435,44.7,76
L,298.4,309.3,1716,28.4,66
L,296.6,307.5,1485,42.7,204
M,298.7,310.1,1549,42.5,61
L,301.0,311.3,1342,50.9,60
L,300.3,311.8,1547,39.7,121
L,298.5,309.6,1861,26.9,130
H,301.9,311.2,1474,41.8,18
L,301.3,310.8,1560,38.5,52
L,298.5,308.6,1522,36.9,53
L,300.5,311.6,1509,47.2,202
L,301.0,310.9,1570,34.0,192
M,301.8,311.3,1542,40.1,142
M,302.1,311.5,1866,23.1,159
L,302.4,310.3,1374,51.2,163
L,303.3,312.5,1968,20.6,130
L,297.3,308.4,1459,39.4,59
L,297.4,308.5,1569,34.2,72
M,299.0,310.0,1486,34.6,91
H,295.6,306.1,1256,62.3,142
M,300.4,309.7,1440,42.8,104
L,298.6,309.4,1315,55.5,28
L,303.5,312.0,1366,54.5,30
L,298.8,309.8,1753,27.5,130
L,304.1,313.1,1556,36.3,86
L,299.4,308.9,1550,33.7,174
L,298.6,309.6,1353,62.5,9
M,299.0,310.4,1625,37.1,131
L,299.4,308.9,1451,40.5,168
L,295.7,306.1,1408,47.9,117
L,297.3,308.0,1420,46.5,73
M,298.6,309.9,1668,32.3,6
M,299.1,308.4,1332,51.7,71
L,300.9,311.4,2073,21.4,105
L,300.2,311.7,1448,54.2,173
L,297.5,308.4,1489,39.5,96
M,300.6,309.7,1428,42.6,23
M,297.7,308.9,1573,35.1,9
H,299.7,309.2,1456,40.6,182
M,296.3,307.4,1335,50.5,48
M,300.9,309.7,1394,48.8,192
L,301.2,310.7,1676,32.4,98
M,300.7,310.9,1369,51.2,63
L,296.9,307.9,1359,56.5,110
M,297.4,308.1,1620,31.2,143
M,302.8,312.2,1452,50.3,60
L,298.9,310.4,1831,25.4,81
L,300.2,309.1,1479,47.0,22
L,300.8,311.2,1397,48.7,111
M,297.4,308.0,1355,55.1,63
L,301.5,310.6,1579,28.0,220
L,303.3,311.6,1484,44.6,223
L,298.5,308.2,1444,40.5,170
L,301.7,310.2,1331,61.2,47
L,301.9,310.6,1610,33.4,87
H,300.5,310.5,1403,47.7,24
H,295.9,306.5,1594,33.2,55
H,303.3,311.3,1502,39.5,38
L,303.6,311.7,1491,39.8,92
M,297.6,308.5,1466,39.7,34
M,300.6,309.4,1581,35.7,117
H,300.6,309.4,1380,47.6,246
L,296.6,308.0,1978,22.3,208
L,297.7,308.4,1487,41.4,84
M,300.4,309.9,1415,31.8,192
L,301.9,310.5,1892,21.8,177
L,299.7,310.3,1505,37.7,4
M,301.3,310.7,1300,58.3,92
L,299.9,310.3,1268,53.3,146
L,298.7,309.9,1541,38.5,208
L,300.5,311.6,1534,37.7,90
M,300.2,311.6,1751,28.0,162
L,298.3,309.5,1711,30.3,148
L,300.9,310.7,1427,44.1,141
L,300.4,311.1,1405,54.1,193
L,301.9,310.9,1597,36.9,50
L,300.3,309.5,1551,37.9,42
M,301.0,312.2,2710,9.7,143
M,300.5,311.9,1511,44.5,30
M,303.8,312.6,1406,47.1,162
L,301.5,310.5,1534,39.3,119
H,297.8,307.3,1516,40.1,166
L,302.3,311.4,1333,66.7,205
L,298.4,308.9,1402,44.8,201
M,302.5,310.4,1581,32.7,181
L,299.2,308.7,1492,37.8,91
H,297.7,309.4,1608,30.2,135
L,298.1,308.1,1410,45.8,71
L,301.7,310.1,1402,50.1,3
L,299.4,309.2,1621,34.5,48
H,297.5,308.8,1824,24.0,179
L,303.8,312.9,1573,34.6,14
L,299.8,309.4,1480,40.9,2
L,303.3,312.6,1623,34.6,102
H,296.4,307.3,1540,37.4,75
L,302.8,312.3,1473,42.6,232
L,301.3,311.2,1668,30.1,18
H,298.7,310.2,1613,36.0,0
L,299.3,308.8,1341,47.7,199
M,301.4,311.2,1541,36.3,28
L,303.7,312.5,1481,33.3,182
M,300.6,309.8,1694,31.1,187
L,302.4,311.1,1484,45.9,169
L,298.8,308.6,1593,35.5,175
L,297.5,308.5,1448,54.3,83
L,296.8,307.9,1337,56.5,5
L,299.2,308.4,1580,32.6,142
M,298.0,308.2,1373,51.2,215
M,302.6,312.3,1454,54.8,253
L,300.9,310.4,1541,39.1,17
M,300.8,312.0,1443,53.3,151
L,297.6,309.0,1491,43.2,7
M,300.5,309.4,1877,23.8,31
L,304.1,313.2,1412,47.5,150
L,302.3,311.7,1453,41.2,147
L,298.8,310.0,1403,45.6,185
L,299.8,309.4,1510,42.5,146
L,300.6,310.9,1471,37.9,86
L,300.9,310.5,1894,21.9,188
L,301.7,311.0,1700,28.7,19
L,298.9,310.1,1602,38.2,58
L,297.7,308.8,1515,40.1,82
L,297.7,307.4,1764,29.0,139
L,304.4,313.6,1568,39.1,0
M,300.6,310.8,1389,48.1,88
L,296.8,307.9,1271,61.4,125
L,298.0,308.0,1401,54.7,65
L,298.8,308.6,1535,41.2,40
L,300.5,309.3,1465,46.0,89
H,301.2,310.7,1747,27.3,35
M,300.2,309.5,1434,51.5,189
L,300.9,311.1,1471,39.3,91
L,297.9,309.0,1562,35.8,40
L,299.4,310.8,1622,33.6,217
H,297.0,307.9,1448,45.6,172
L,301.0,311.9,1889,23.5,198
M,299.2,308.3,1364,51.8,104
M,299.3,310.7,1440,45.5,146
H,296.1,306.9,1541,32.6,33
H,301.3,311.0,1580,36.6,184
M,299.7,308.9,1478,41.0,87
L,299.1,308.5,1689,32.1,192
M,299.7,310.3,1429,47.7,35
M,301.4,310.7,1639,29.8,127
M,299.7,311.1,1649,32.7,185
H,299.1,308.8,1553,32.6,90
L,301.8,311.2,1334,52.3,68
L,300.7,311.8,1603,34.1,17
L,301.1,311.7,1816,24.5,7
M,298.9,310.1,1549,40.2,65
M,298.1,308.9,1323,51.7,88
L,300.3,309.2,1807,26.4,169
L,301.2,310.6,1437,51.2,112
L,301.5,310.5,1636,28.7,106
M,299.9,311.4,1480,44.9,108
L,300.0,311.5,1812,28.3,94
M,300.6,309.8,1447,42.9,12
H,303.7,312.7,1564,40.2,150
H,302.0,310.6,1438,43.2,12
L,302.1,311.3,1758,24.4,200
L,300.4,311.8,1405,47.9,58
L,301.5,310.3,1415,41.6,28
L,297.5,308.6,1585,37.6,2
L,301.5,310.9,1451,40.6,0
L,303.6,312.9,1873,23.5,7
L,297.3,308.6,1446,50.1,144
H,300.7,312.3,1670,27.3,81
L,297.8,309.7,1935,22.1,171
L,299.3,308.8,1772,25.2,89
M,297.5,308.5,1612,30.0,163
L,298.5,308.8,1305,58.7,26
L,304.0,313.1,1404,47.1,90
H,297.6,308.2,2071,18.5,144
M,298.9,310.1,1313,56.8,171
H,300.7,310.3,1369,50.7,12
M,302.3,311.7,1423,44.6,93
L,302.9,312.6,1328,59.9,24
L,301.1,312.3,1595,31.9,134
L,298.2,308.4,1477,49.9,72
L,300.1,310.1,1650,31.6,19
M,300.5,309.8,1370,55.9,143
L,297.4,308.8,1640,34.2,142
M,296.7,307.5,1515,42.1,55
M,296.5,307.4,1350,55.6,69
L,298.7,309.8,1365,50.5,111
M,300.5,309.8,1508,37.8,150
L,303.7,312.5,1632,36.6,186
L,302.5,312.0,1456,46.3,208
M,298.0,308.5,1666,31.0,198
L,303.4,312.8,1376,53.4,98
L,300.6,309.6,1290,57.4,119
M,303.7,312.6,1429,43.3,189
L,298.2,309.0,1353,57.8,89
M,295.6,306.3,1426,45.5,53
H,297.3,308.4,1864,23.1,90
M,300.6,309.5,1557,33.8,84
M,299.9,309.4,1509,42.8,190
M,302.3,311.7,1494,37.1,114
M,299.0,310.0,1488,46.3,198
M,303.6,311.8,1421,44.8,101
M,299.9,310.0,1484,42.1,182
L,298.4,309.2,1583,35.4,112
M,299.7,310.5,1490,41.2,126
M,298.2,307.9,1462,38.8,124
H,303.7,312.8,1488,42.8,54
M,301.0,311.5,1530,43.9,165
M,298.8,310.3,1366,59.0,94
M,304.1,313.3,1680,29.3,158
M,302.5,311.5,1481,41.1,215
L,298.7,310.1,1558,37.6,44
M,303.8,312.9,1815,27.8,66
L,302.0,311.0,1420,45.9,144
L,301.9,310.9,1574,31.4,27
M,302.0,310.8,1783,23.1,190
L,298.9,310.1,1356,47.8,116
L,302.6,311.9,1448,49.5,72
L,302.9,312.5,1550,45.5,72
M,301.0,310.7,1493,48.1,145
M,299.2,310.3,1551,44.8,18
L,302.3,310.2,1394,55.4,57
M,298.5,309.7,1523,44.6,83
L,301.9,311.0,1669,32.2,191
L,302.8,312.4,1523,39.7,239
L,302.3,311.3,1652,32.8,108
L,299.0,308.6,1734,32.4,161
M,300.9,310.0,1416,46.6,201
L,296.3,307.1,1419,48.6,142
L,299.0,310.2,1516,35.3,102
M,297.2,308.6,1444,41.1,56
M,298.7,309.6,1455,46.8,162
M,301.0,311.6,1448,43.9,145
L,298.9,310.0,1452,48.9,185
M,302.4,311.4,1508,41.2,60
M,298.3,309.1,1632,32.7,0
L,299.4,309.3,1366,48.4,116
L,298.9,309.9,1500,44.2,115
L,297.4,308.1,1348,53.7,68
L,296.6,307.6,1459,40.2,96
H,297.6,308.4,1703,31.4,205
M,298.3,309.5,1543,49.9,199
L,301.0,310.9,1809,25.7,192
L,299.1,308.8,1502,46.7,197
L,300.5,309.7,1887,24.3,28
H,298.7,310.1,1435,45.6,37
M,300.7,309.5,1733,26.7,108
L,300.6,310.9,1433,42.6,101
M,299.9,311.2,1579,35.5,162
L,301.0,310.9,1296,54.9,69
M,299.2,310.4,1325,52.0,34
H,297.1,307.9,1420,39.8,192
H,300.6,310.6,1830,26.2,78
L,302.4,312.0,1545,36.4,12
L,297.3,308.4,1430,45.7,15
L,300.6,309.7,1639,30.4,121
L,302.2,310.6,1632,30.5,122
L,300.3,311.7,1452,41.5,172
M,296.2,307.0,1516,37.6,25
L,298.1,308.3,1331,63.0,13
L,299.7,310.9,1477,40.4,83
M,300.6,309.3,1510,46.0,87
L,302.4,311.5,1590,39.9,58
L,300.0,311.4,1590,33.6,5
M,298.2,307.8,1583,36.6,185
L,302.5,311.9,1306,59.7,172
M,300.5,311.6,1246,52.9,165
L,300.4,309.6,1356,45.9,64
H,298.3,309.6,1546,36.2,177
M,301.5,310.4,1378,55.3,109
L,300.0,309.2,1566,34.4,18
L,295.8,306.6,1644,35.2,115
L,302.6,311.5,1599,37.0,211
L,300.6,310.2,1622,34.1,3
M,300.9,312.1,1297,48.6,76
L,299.5,310.0,1502,38.5,52
L,301.4,310.6,1555,43.3,212
H,302.3,311.1,1455,40.3,145
L,298.2,308.2,1988,21.4,41
L,298.8,309.8,1634,33.6,27
L,300.5,309.7,1616,34.5,155
M,302.0,310.8,1445,46.3,17
H,304.0,313.1,1388,53.2,91
M,303.1,312.5,1766,26.7,157
L,302.6,310.3,1642,33.2,82
L,300.4,312.0,1631,34.9,115
M,298.1,308.5,1382,54.5,17
L,302.3,311.4,1434,40.3,133
M,298.7,309.6,1800,24.8,78
L,297.4,308.3,1561,38.3,0
M,297.4,308.5,1465,55.9,153
L,300.3,309.6,1435,45.4,181
L,299.8,310.2,1911,23.5,166
M,303.9,313.2,1570,40.7,74
L,298.8,310.1,1574,36.2,181
L,298.9,309.6,1663,33.7,195
M,302.2,311.2,1347,49.8,94
H,300.0,309.0,1622,31.8,103
L,298.2,307.9,1551,36.0,186
L,298.7,310.0,1555,32.6,197
M,297.5,309.4,1831,26.6,105
H,301.2,310.5,1505,43.6,78
M,297.3,308.6,1584,29.4,141
M,298.7,310.2,1598,33.3,36
L,297.4,308.4,1434,39.9,2
H,298.6,308.4,1407,50.5,164
M,303.6,312.8,1400,43.2,23
L,298.8,309.7,1609,40.4,169
H,303.8,313.2,1381,52.4,140
L,295.8,306.5,1534,37.9,88
M,303.6,312.3,1698,31.3,100
L,300.3,311.6,1374,47.4,197
M,297.4,308.2,1401,51.9,117
L,298.1,309.0,1437,36.2,95
L,300.4,311.3,1639,34.6,24
M,298.1,308.0,2129,18.4,45
M,297.6,308.6,1254,45.8,31
H,300.6,311.1,1452,40.2,28
L,298.8,308.6,1501,35.0,55
M,303.4,312.2,1972,23.5,59
L,300.8,312.3,1435,44.8,134
L,300.8,310.5,1434,44.5,89
H,299.3,308.6,1520,41.4,67
L,302.2,310.8,1340,47.8,54
M,302.1,310.8,1409,41.3,39
L,298.1,307.8,1565,35.3,119
H,300.9,310.7,1403,40.6,207
L,299.1,310.6,1602,39.7,144
L,300.7,309.8,1406,48.4,151
L,301.6,310.6,1562,34.4,162
L,296.9,308.1,1555,33.7,229
L,298.7,309.8,1402,54.3,128
M,299.0,310.3,1494,46.6,144
M,296.9,307.5,1556,31.2,116
M,299.1,310.3,1838,24.0,235
L,300.8,310.6,1577,37.9,227
M,303.9,313.0,1901,22.5,110
M,297.8,307.3,1315,54.0,180
L,296.9,308.3,1555,38.2,175
L,298.3,308.4,1528,37.3,160
L,298.7,309.7,1547,37.4,0
H,300.6,309.4,1691,28.0,36
M,299.9,311.3,1445,41.2,169
H,302.9,311.2,2102,17.8,91
M,301.1,311.1,1592,35.7,174
L,300.2,311.7,1493,48.3,167
L,300.6,311.5,1419,38.6,31
L,302.7,312.1,1763,26.5,184
M,301.6,310.6,1691,30.1,40
L,301.0,310.7,1727,34.5,127
M,299.3,310.5,1462,40.5,24
M,300.1,309.7,1420,48.4,36
L,301.3,310.8,1381,47.9,33
L,297.4,308.6,1609,36.2,116
M,296.4,307.5,1684,31.4,72
L,298.4,309.6,1710,27.3,163
L,300.1,309.2,1326,55.9,55
M,301.6,310.9,1510,40.9,152
L,301.4,310.7,1509,38.3,95
L,301.5,310.8,1413,44.6,166
M,300.3,309.9,1494,38.5,33
M,302.0,311.3,1530,36.4,27
L,299.9,309.2,1560,38.9,180
L,298.7,309.6,1516,38.5,61
L,297.4,309.2,1459,37.9,191
L,297.6,308.8,1539,40.2,72
M,301.7,310.8,1524,41.3,147
M,302.4,311.1,1443,51.8,178
M,299.0,308.9,1449,39.6,105
L,302.4,311.8,1433,42.2,134
L,299.7,309.2,1478,38.8,199
L,296.8,307.9,1718,25.2,148
L,298.4,309.3,1409,43.1,166
L,302.5,310.2,1547,36.9,103
M,301.8,309.8,1546,39.8,121
L,301.7,310.1,1384,50.5,38
H,296.7,308.1,1528,46.3,203
L,300.4,309.9,1681,28.6,206
L,300.9,311.3,1613,32.7,170
L,300.8,312.6,1422,50.0,117
M,297.8,309.0,1576,45.0,17
L,299.8,309.1,1668,30.3,200
L,299.2,310.3,1352,48.9,238
L,297.1,308.1,1446,36.6,227
L,299.3,308.6,1520,33.7,76
L,301.8,310.6,1452,48.4,110
M,297.3,308.1,1709,30.6,196
L,302.5,310.8,1577,36.9,158
M,297.5,308.1,1907,23.5,125
L,298.5,309.3,1590,33.9,107
L,300.8,312.0,1477,37.3,164
M,303.7,312.6,1671,30.5,163
H,298.6,309.5,1523,34.2,119
L,300.0,310.1,1465,40.9,60
H,300.6,310.4,1479,35.6,150
M,298.3,308.1,1630,32.7,83
L,300.1,309.4,1560,47.7,26
M,300.4,311.6,1359,55.4,160
M,304.3,313.4,1624,32.1,53
L,302.4,311.8,1416,46.1,202
L,299.9,309.2,1598,34.6,111
L,302.4,310.9,1560,31.8,172
M,300.5,311.4,2072,18.8,75
L,300.9,311.0,1316,56.5,120
L,299.8,310.8,1376,48.6,159
L,298.5,308.4,1513,33.6,172
H,297.4,308.6,1461,40.1,126
L,297.6,309.5,1924,20.6,37
L,298.0,309.2,1665,36.6,22
M,298.4,309.5,1484,41.7,119
L,300.8,311.9,1414,41.1,171
H,299.1,310.4,1405,53.6,86
L,299.4,309.2,1607,31.7,145
M,298.2,309.0,1413,47.9,97
M,300.6,310.0,1397,55.2,90
M,300.7,310.8,1465,45.2,92
M,302.2,310.1,1421,45.4,9
M,300.8,311.0,1580,36.6,109
L,300.9,310.7,1740,25.3,164
L,298.9,310.1,1466,43.4,50
M,298.3,309.1,1404,47.0,15
L,295.6,306.0,1569,40.4,174
L,298.1,307.9,1517,40.8,50
L,296.5,307.6,1607,33.5,104
L,300.2,311.6,1446,47.3,66
L,300.8,310.8,1634,29.2,149
L,304.2,313.4,1740,28.2,78
M,302.2,311.5,1734,25.0,116
L,303.4,312.2,1337,69.4,52
H,298.1,308.3,1530,42.0,184
L,298.6,308.2,1705,26.3,177
H,298.4,307.9,1948,21.4,136
L,302.7,312.2,1405,51.4,157
L,298.7,309.9,1404,47.1,64
H,300.1,311.6,1589,37.9,37
M,298.4,308.0,1416,38.2,198
H,298.2,308.8,1606,39.9,53
L,298.0,307.7,1606,30.8,17
M,300.6,311.9,1629,35.3,0
L,299.6,309.2,1572,33.4,20
L,301.5,310.8,1512,38.9,9
H,297.5,308.6,1355,58.9,138
L,299.1,310.6,1577,37.1,44
L,299.6,310.2,1473,42.7,81
M,303.4,312.8,1590,36.3,113
M,300.4,309.7,1685,32.3,167
L,297.1,308.4,1468,44.4,197
M,296.1,307.2,1619,29.7,17
L,298.2,309.0,1780,29.3,91
H,298.8,308.9,1466,44.1,184
L,303.3,311.7,1508,35.5,217
L,301.1,311.1,1889,23.8,170
M,297.3,308.3,1459,59.6,207
L,298.4,309.4,1392,50.1,117
L,297.2,308.3,1796,23.8,61
L,300.3,310.3,1704,29.5,0
L,302.0,310.0,1449,48.8,181
M,300.2,310.3,1478,38.1,45
L,301.1,310.8,1470,49.3,116
M,303.4,311.4,1307,54.0,44
L,300.2,310.2,1530,48.5,15
M,301.3,311.0,1410,52.7,161
L,298.1,307.6,1364,53.8,129
M,297.7,309.1,1732,28.1,167
L,299.8,309.5,1542,40.3,141
M,300.8,312.3,1535,40.3,71
L,298.6,309.3,1702,27.6,143
L,300.5,309.7,1589,30.5,198
H,296.7,307.5,1607,33.6,38
H,303.6,311.9,1544,37.1,88
M,300.2,311.3,1491,37.3,102
L,301.8,310.8,1557,33.3,190
M,298.4,309.3,1355,50.6,8
L,302.3,311.2,1549,40.6,66
L,299.0,310.3,1483,39.2,153
L,299.8,310.9,2084,17.6,175
M,298.7,309.9,1434,53.0,144
L,298.2,308.8,1442,47.0,18
M,298.1,308.3,1453,41.5,204
L,298.1,308.9,1313,50.6,108
L,300.4,309.7,1488,35.7,177
L,297.9,308.1,1531,40.8,2
L,303.6,311.8,1695,30.7,90
M,300.8,309.4,1342,62.4,113
H,300.6,310.6,1448,44.7,55
M,302.9,312.5,1551,40.0,20
L,297.4,308.5,1477,40.7,74
M,300.1,309.3,1469,43.9,20
L,299.6,309.1,1369,51.4,164
L,301.3,311.1,1624,40.9,0
L,302.9,311.0,1820,24.6,128
H,299.1,310.4,1369,54.5,104
M,300.3,309.8,1444,42.0,3
L,298.9,308.3,1855,23.8,33
L,296.8,307.9,1420,45.4,70
L,300.7,311.0,1312,52.1,107
L,297.6,308.6,1528,40.0,123
L,297.1,308.5,1323,44.4,207
L,297.8,308.8,1579,32.9,70
M,301.7,310.1,1644,34.6,5
L,300.7,309.8,1363,53.1,183
L,298.9,310.3,1364,54.0,95
L,302.6,312.0,1674,32.2,70
L,297.4,307.9,1606,33.4,176
L,301.0,311.3,1472,35.3,73
L,299.0,308.7,2248,16.8,204
L,303.3,312.2,1506,40.0,50
L,298.9,308.6,1481,40.7,124
M,297.2,308.5,1611,31.6,197
H,297.6,309.0,1735,26.4,41
L,304.2,313.2,1464,44.9,37
L,299.3,310.8,1391,46.9,21
L,298.9,308.7,1356,50.7,185
H,297.2,307.9,1450,37.2,151
M,302.2,311.2,1873,24.0,99
L,301.3,311.0,1542,35.1,204
L,296.8,307.4,1549,48.3,105
L,300.6,312.0,1490,42.2,3
L,300.2,311.5,1639,31.1,31
M,296.9,307.7,2008,17.5,3
L,299.2,310.5,1391,45.8,38
L,300.4,309.6,1386,56.9,170
M,303.3,312.1,1693,30.0,80
L,300.3,309.9,1518,36.4,0
L,301.4,311.1,1469,36.9,133
L,300.1,311.4,1660,31.4,38
H,300.8,310.6,1465,44.1,136
L,297.2,308.4,1605,30.0,183
L,300.2,309.2,1431,51.3,57
L,300.6,309.9,1480,43.7,153
L,300.9,312.1,1474,42.4,171
M,297.6,308.4,1398,48.9,63
L,300.9,311.1,1417,40.7,24
L,298.2,309.0,1643,34.1,91
M,298.4,308.7,1421,60.7,119
M,302.4,311.4,1534,40.1,41
H,297.4,308.6,1420,45.8,120
L,300.7,311.0,1969,20.7,109
M,299.3,308.5,1422,43.1,186
M,296.3,307.2,1286,51.1,177
L,295.5,306.1,1488,40.7,31
M,301.1,311.3,1654,30.7,28
M,297.4,308.3,1335,57.9,113
M,303.9,313.0,1620,36.6,80
L,298.9,309.6,1583,39.8,202
L,301.7,310.8,1385,50.7,133
M,302.5,312.0,1445,54.8,0
L,300.4,311.4,1309,55.5,71
M,300.6,312.1,1293,52.3,49
L,298.8,309.8,1557,37.2,139
L,302.5,310.3,1584,35.5,158
L,300.8,310.4,1570,35.2,23
M,297.7,308.8,1350,57.0,105
M,299.0,310.2,1628,35.8,64
L,301.7,311.1,1455,39.8,118
M,300.8,310.3,1494,42.2,35
L,302.7,312.2,1450,52.1,213
L,300.1,309.7,1680,33.8,140
L,303.5,312.4,1574,32.7,175
L,300.8,312.0,1382,49.3,177
M,301.7,310.5,1724,33.0,171
L,300.2,309.8,1481,41.9,106
L,303.7,312.8,1832,23.6,35
L,300.0,311.2,1418,47.3,60
L,298.8,309.7,1529,44.0,136
L,297.5,308.6,1388,48.2,203
L,300.6,310.0,1455,40.4,172
M,298.7,309.6,1452,42.7,180
L,297.6,308.6,1576,32.7,83
L,302.2,311.6,1416,54.1,48
H,296.4,307.5,1556,38.0,62
L,300.6,309.8,1455,48.0,125
H,297.3,308.7,1430,42.8,153
L,302.0,310.6,1366,47.7,206
M,297.5,308.6,1842,27.0,133
M,300.5,309.9,1552,41.3,116
H,300.3,311.9,1390,49.0,194
M,300.8,310.8,1549,35.5,79
M,298.0,307.9,1417,51.0,137
L,298.6,309.2,1542,48.4,42
M,299.2,308.8,1503,37.4,109
M,300.9,311.3,1603,31.8,190
M,302.0,311.2,1418,49.5,17
H,298.9,310.2,1532,37.7,166
L,301.2,310.7,1568,38.3,49
L,302.5,310.9,1624,34.4,146
M,301.1,310.7,2219,16.7,79
M,303.9,313.3,1507,34.3,161
L,300.6,309.4,1425,40.3,103
L,298.1,308.0,1456,42.4,59
M,301.0,311.1,1420,47.4,167
L,303.5,311.6,2183,17.0,110
L,298.3,308.0,2886,3.8,57
L,301.0,312.1,1585,32.3,50
L,302.2,311.1,1470,39.6,97
M,298.1,308.0,1686,29.3,35
L,298.4,309.7,1457,44.2,175
L,297.2,308.4,1460,42.1,41
L,297.9,307.6,1344,54.3,151
L,301.4,310.7,1428,53.7,176
M,299.6,309.0,1245,64.0,120
M,298.3,309.4,1595,29.0,103
H,296.9,307.9,1547,32.6,79
L,297.4,308.8,1462,49.7,132
L,300.3,309.9,1377,55.3,4
M,298.5,309.6,1441,48.2,107
M,300.8,310.5,1511,35.8,54
L,303.5,312.9,1544,36.9,87
L,301.4,310.4,1579,36.9,133
L,301.0,311.2,1363,46.3,62
L,301.3,311.1,1560,35.3,55
L,299.1,310.6,1326,49.7,78
M,300.5,311.9,1730,27.5,209
L,300.1,311.3,1535,42.3,92
M,300.2,309.4,1501,40.0,48
L,300.3,310.2,1471,45.2,48
L,297.9,309.0,1502,40.2,30
H,304.1,313.4,1696,29.6,65
L,302.5,311.1,1571,34.2,201
L,300.2,311.6,1500,39.0,174
M,299.3,308.7,1420,50.3,208
L,298.5,309.3,1623,33.1,109
H,300.2,311.0,1777,27.5,151
L,297.2,308.6,1392,41.5,108
M,300.9,310.7,1362,51.6,212
L,299.2,308.9,1526,37.9,177
L,300.1,311.4,1484,43.1,13
M,299.5,308.7,1321,51.9,114
